0	0
23	0
46	0
68	0
148	1
173	1
198	1
222	1
324	2
348	2
372	2
396	2
486	3
510	3
533	3
559	3
678	4
700	4
723	4
747	4
827	5
850	5
873	5
898	5
975	6
998	6
1022	6
1046	6
1126	7
1152	7
1177	7
1204	7
1337	8
1360	8
1382	8
1405	8
1511	2
1512	0
1553	1
1582	0
1591	2
1611	0
1630	2
1632	1
1651	1
1661	1
1670	0
1671	2
1691	0
1710	1
1730	1
1738	1
1748	1
1758	1
1767	4
1778	4
1796	4
1807	5
1816	5
1826	0
1827	7
1847	0
1865	1
1884	2
1895	0
1904	2
1924	0
1942	6
1944	1
1964	1
1972	1
1982	1
1992	1
2002	4
2012	1
2021	1
2031	4
2051	0
2061	1
2071	0
2080	1
2090	1
2100	4
2110	4
2120	5
2138	0
2140	7
2147	0
2159	0
2180	1
2200	3
2211	0
2220	3
2240	3
2240	0
2261	1
2280	3
2301	0
2320	3
2322	0
2342	1
2362	1
2371	1
2381	1
2391	1
2401	4
2412	4
2422	4
2431	4
2442	5
2462	7
2462	0
2470	0
2482	0
2502	1
2533	0
2541	3
2562	0
2582	1
2601	3
2620	1
2632	0
2647	4
2652	0
2660	1
2673	0
2679	5
2693	0
2699	1
2707	4
2712	0
2731	0
2740	1
2779	0
2780	7
2797	7
2815	3
2819	3
2820	1
2829	2
2852	0
2860	3
2881	0
2901	1
2910	4
2920	5
2931	0
2941	7
2941	3
2942	1
2951	7
2961	0
2982	0
2986	1
3003	6
3014	0
3023	1
3033	0
3042	1
3052	1
3062	4
3072	4
3082	5
3092	5
3102	0
3103	7
3122	3
3123	0
3143	1
3163	3
3176	0
3183	3
3204	0
3224	1
3245	3
3255	0
3264	1
3272	4
3276	0
3291	4
3297	0
3303	1
3317	0
3330	4
3337	0
3342	1
3350	4
3356	0
3375	0
3382	1
3394	0
3410	4
3417	0
3424	7
3426	0
3445	2
3458	0
3468	1
3487	3
3496	1
3507	2
3509	0
3518	1
3528	6
3538	0
3548	1
3569	3
3591	0
3601	1
3610	2
3620	0
3630	3
3630	2
3630	1
3639	8
3650	1
3660	1
3671	4
3680	1
3690	1
3711	5
3721	5
3731	5
3752	7
3752	0
3772	6
3782	0
3793	1
3813	0
3832	2
3834	0
3853	2
3863	0
3873	1
3892	1
3897	1
3903	1
3909	1
3924	1
3934	4
3943	1
3953	1
3963	4
3973	5
3983	0
3993	1
4002	0
4012	4
4023	4
4035	4
4045	4
4056	5
4065	5
4075	7
4075	0
4116	7
4116	3
4118	1
4128	2
4138	6
4149	0
4159	6
4178	6
4179	0
4199	1
4208	6
4219	3
4240	0
4260	6
4269	0
4280	1
4290	0
4299	1
4309	1
4319	4
4329	1
4339	1
4349	4
4359	5
4367	0
4378	3
4379	5
4379	1
4388	8
4400	0
4401	7
4441	6
4441	3
4442	1
4451	0
4462	6
4474	0
4483	6
4502	0
4523	1
4532	6
4543	6
4552	0
4563	1
4571	1
4573	0
4584	4
4593	0
4603	1
4614	0
4634	0
4645	1
4652	1
4656	0
4678	0
4688	1
4698	0
4718	1
4729	0
4759	0
4770	3
4771	1
4781	8
4791	0
4812	0
4833	4
4842	4
4852	4
4862	4
4872	0
4893	3
4894	0
4915	6
4936	1
4955	6
4965	1
4976	1
4986	1
4996	4
5016	1
5026	4
5037	5
5049	1
5059	7
5061	0
5077	3
5081	0
5099	3
5101	1
5110	8
5111	2
5122	3
5132	0
5141	3
5161	3
5161	0
5182	1
5203	1
5213	1
5222	1
5233	1
5243	4
5253	4
5263	1
5273	4
5283	5
5294	0
5303	5
5303	1
5314	0
5323	5
5333	5
5343	5
5353	5
5363	6
5373	6
5384	0
5405	6
5425	3
5426	1
5436	8
5447	6
5457	0
5469	6
5489	6
5489	0
5509	1
5530	6
5530	3
5551	0
5552	6
5571	6
5572	0
5590	1
5600	6
5602	0
5610	6
5620	4
5630	6
5641	0
5650	1
5670	3
5671	6
5690	3
5712	0
5732	6
5742	0
5751	6
5753	1
5773	6
5793	6
5794	0
5814	6
5815	0
5835	1
5842	0
5855	6
5855	3
5876	0
5907	1
5918	4
5929	0
5939	1
5949	0
5958	1
5969	4
5989	0
5998	7
5998	3
5999	1
6008	8
6019	7
6020	0
6039	7
6041	0
6072	0
6083	1
6092	6
6103	0
6124	6
6125	0
6145	6
6155	0
6165	1
6176	0
6184	6
6193	3
6204	2
6205	0
6215	3
6226	6
6236	0
6248	1
6258	0
6266	6
6276	1
6287	1
6298	1
6318	1
6327	1
6339	4
6359	1
6369	7
6370	0
6390	0
6411	1
6421	0
6432	6
6453	0
6474	6
6475	0
6495	1
6520	1
6531	1
6538	1
6547	1
6557	1
6568	1
6578	4
6589	4
6599	4
6609	4
6619	4
6629	4
6639	5
6649	5
6659	5
6669	5
6679	5
6699	7
6700	0
6709	3
6733	0
6742	3
6764	0
6784	3
6786	0
6826	6
6827	3
6849	0
6867	7
6870	0
6878	3
6900	0
6910	3
6932	0
6953	7
6953	0
6995	3
6997	1
7007	8
7043	3
7044	0
7289	8
7306	8
7327	8
