0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	20
20	22
21	24
22	26
23	28
24	30
25	32
26	33
27	34
28	35
29	36
30	37
31	40
32	41
33	44
34	45
35	46
36	48
37	49
38	50
39	62
40	64
41	65
42	66
43	68
44	72
45	73
46	74
47	76
48	80
49	82
50	88
51	90
52	92
53	96
54	97
55	98
56	104
57	113
58	114
59	120
60	128
61	129
62	130
63	132
64	136
65	137
66	138
67	140
68	144
69	146
70	148
71	154
72	156
73	160
74	161
75	162
76	168
77	170
78	176
79	177
80	178
81	192
82	193
83	194
84	196
85	200
86	201
87	202
88	204
89	208
90	210
91	218
92	224
93	225
94	226
95	233
96	-32
97	-31
98	-30
99	-29
100	-27
101	-26
102	-25
103	-24
104	-23
105	-22
106	-21
107	-20
108	-19
109	-18
110	-17
111	-16
112	-15
113	-14
114	-13
115	-12
116	-11
117	-10
118	-9
119	-8
120	-7
121	-6
122	-5
123	-4
124	-3
125	-1
126	-2
